Name,Latitud,Longitud,Tipos
dsf4,40.4345051,-3.699849599999999,"['airport', 'point_of_interest', 'establishment']"
Mixturas Gastro Bar,40.44813610000001,-3.7001496,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
La Bohemia Paraguaya,40.4474229,-3.702442,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Willy´S Bar Hamburgueseria,40.4472992,-3.7018623,"['meal_delivery', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Griselda Aguilera Fernández,40.4472566,-3.7018904,"['bar', 'point_of_interest', 'establishment']"
La_Esquina 23,40.44737680000001,-3.7019096,"['bar', 'liquor_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
El Castillo,40.447357,-3.700643099999999,"['bar', 'point_of_interest', 'establishment']"
Bar Py,40.4473276,-3.702380999999999,"['bar', 'point_of_interest', 'establishment']"
Tu Rincón,40.446545,-3.7019439,"['bar', 'point_of_interest', 'establishment']"
Bar Encuentro,40.44656,-3.701993,"['bar', 'point_of_interest', 'establishment']"
Bar Roclana Tapas y Raciones,40.44656,-3.701993,"['bar', 'point_of_interest', 'establishment']"
"""La Esquinita de Treviño"" Cafetería - Cervecería",40.44656,-3.701993,"['cafe', 'bar', 'food', 'point_of_interest', 'establishment']"
El Bar,40.4469571,-3.7002443,"['bar', 'point_of_interest', 'establishment']"
Bar Casita,40.4468941,-3.7001936,"['bar', 'point_of_interest', 'establishment']"
La terraza de Dulcinea,40.4469032,-3.7001767,"['bar', 'point_of_interest', 'establishment']"
Bar tinin,40.44835399999999,-3.7019023,"['bar', 'point_of_interest', 'establishment']"
Taberna de Paco,40.4482902,-3.7021091,"['bar', 'point_of_interest', 'establishment']"
Cafetería Tinin,40.44838319999999,-3.7018093,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
El Refugio Bar Cerveceria,40.4482489,-3.7027218,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
bar 2 Amig@s,40.4460627,-3.7002861,"['bar', 'point_of_interest', 'establishment']"
Low Cost.Come,40.4470282,-3.7033401,"['bakery', 'bar', 'liquor_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Norte Sur Bravo Murillo (Chamberí),40.4463895,-3.7041686,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
100 Montaditos,40.4474922,-3.703704299999999,"['bar', 'food', 'point_of_interest', 'establishment']"
La Quinta Lounge Bar,40.4460352,-3.704215600000001,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Lizarran,40.4459976,-3.7041846,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
La Bohemia Paraguaya,40.4474229,-3.702442,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Bar Rubí,40.4473977,-3.7042338,"['bar', 'night_club', 'point_of_interest', 'establishment']"
Tres Cuñados Bar Cafeteria,40.44771739999999,-3.7044127,"['bar', 'point_of_interest', 'establishment']"
HEREDEROS DE FRANCISCO ESTIRADO BLAZQUEZ C.B.,40.44752940000001,-3.7048414,"['bar', 'point_of_interest', 'establishment']"
Low Cost.Come,40.4470282,-3.7033401,"['bakery', 'bar', 'liquor_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Restaurante los Pinetes,40.447605,-3.7051098,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Chicken & Paella,40.4472668,-3.7054769,"['meal_delivery', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Tierra Burrito Bar,40.4480876,-3.7049816,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Cervecería Rubí,40.448408,-3.703959200000001,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
El rincón de Hernani,40.44825429999999,-3.7032366,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Bar Restaurante Viba,40.4484012,-3.7032825,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']"
Los Morales,40.4484038,-3.7032581,"['bar', 'point_of_interest', 'establishment']"
Cafe-Bar Martinez,40.44774779999999,-3.7059413,"['bar', 'point_of_interest', 'establishment']"
Bar Py,40.4473276,-3.702380999999999,"['bar', 'point_of_interest', 'establishment']"
Bar La Felicidad,40.44684709999999,-3.7071669,"['bar', 'point_of_interest', 'establishment']"
BAR MADRID ROLLER,40.4474996,-3.706834599999999,"['bar', 'meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Madrid Roller,40.44750860000001,-3.7068196,"['bar', 'point_of_interest', 'establishment']"
Alberto Fernández Rodríguez,40.446845,-3.707208,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Cafe-Bar Martinez,40.44774779999999,-3.7059413,"['bar', 'point_of_interest', 'establishment']"
Chicken & Paella,40.4472668,-3.7054769,"['meal_delivery', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Lecumberri,40.44676409999999,-3.7100909,"['bar', 'point_of_interest', 'establishment']"
Bar SANTA ELENA,40.4474265,-3.7107534,"['bar', 'cafe', 'food', 'point_of_interest', 'establishment']"
Epic Board Game Cafe,40.44724209999999,-3.7106795,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Herjomar,40.4471154,-3.7102642,"['bar', 'point_of_interest', 'establishment']"
Bar Manolo,40.4472387,-3.709891999999999,"['bar', 'point_of_interest', 'establishment']"
El Barril del Tapeo,40.447145,-3.7101482,"['bar', 'point_of_interest', 'establishment']"
Cafetería El Cantaro,40.44724209999999,-3.7106795,"['bar', 'cafe', 'liquor_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Bar El Filón de Caña,40.44765469999999,-3.7106475,"['bar', 'point_of_interest', 'establishment']"
Cerveceria Los Rotos,40.44661370000001,-3.7107489,"['bar', 'point_of_interest', 'establishment']"
Bar Cafeteria,40.4464609,-3.710637599999999,"['bar', 'point_of_interest', 'establishment']"
"Bar Cafeteria ""Manduka""",40.4463654,-3.711163400000001,"['bar', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']"
Bar Labaña,40.44818,-3.711095999999999,"['bar', 'point_of_interest', 'establishment']"
José Manuel Ramírez Pozo,40.44818,-3.711095999999999,"['bar', 'point_of_interest', 'establishment']"
Bar SANTA ELENA,40.4474265,-3.7107534,"['bar', 'cafe', 'food', 'point_of_interest', 'establishment']"
Epic Board Game Cafe,40.44724209999999,-3.7106795,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Cafetería Cervecería Los Estudiantes,40.44683850000001,-3.712652800000001,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Sidrería Casa Lulo | Restaurante Asturiano,40.4467277,-3.7117925,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Tapas La Vuelta Bar,40.44631979999999,-3.7133939,"['bar', 'point_of_interest', 'establishment']"
Taberna la Tortuga,40.4467848,-3.714322,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"Bar Cafeteria ""Manduka""",40.4463654,-3.711163400000001,"['bar', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']"
Café - Bar Al Punto,40.44584979999999,-3.7121838,"['bar', 'point_of_interest', 'establishment']"
Cafetería El Cantaro,40.44724209999999,-3.7106795,"['bar', 'cafe', 'liquor_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Bar Labaña,40.44818,-3.711095999999999,"['bar', 'point_of_interest', 'establishment']"
José Manuel Ramírez Pozo,40.44818,-3.711095999999999,"['bar', 'point_of_interest', 'establishment']"
Campus,40.4474778,-3.717200999999999,"['bar', 'point_of_interest', 'establishment']"
Cabala,40.44820319999999,-3.7159438,"['bar', 'point_of_interest', 'establishment']"
Espit Chupitos,40.4473302,-3.7173058,"['bar', 'point_of_interest', 'establishment']"
